demon name,Shield Name,talent name,effect,phys,fire,ice,elec,force,light,dark,skill 1,skill 2,Awaken Skill,HP%,DMG reduction for atribute,Defense,mdef,panel 1,panel 2,panel 3,Panel 1 Step,panel 2 Step,panel 3 Step,nickname
"Mitra","Phys Barrier","Yazata Shield","","rs","","","","","","","Strengh Amp II","Life Bonus","","90%","Phys 10%","80%","80%","","","","","","",""
"Feng Huang","Fire Barrier","Red Emperor Shield","","","rs","wk","","","","","Magic Amp II","Life Bonus","","90%","Fire 10%","40%","80%","","","","","","",""
"Silky","Ice Barrier","Guardian Shield","","","wk","rs","","","","","Magic Amp II","Life Bonus","","90%","Ice 10%","40%","80%","","","","","","",""
"Titan","Ubukinu Mystic Armor","Colossal Armor","+5 to Phys damage.","rs","","","","","","","Phys Boost","Life Gain","Null Phys","90%","Phys 10%","80%","20%","","","","","","",""
"Cerberus","Hachiryo Fire Armor","Firey Armor","+5% to Fire damage.","","rs","ice","","","","","Fire Boost","Life Gain","Null Fire","90%","Fire 10%","40%","80%","","","","","","",""
"Sarasvati","Omodaka Ice Armor","Watery Armor","+5% to Ice damage.","","wk","rs","","","","","Ice Boost","Life Gain","Null Ice","90%","Ice 10%","40%","80%","","","","","","",""
"Cu Chulainn","Duban","White Swan Shield","+5% to Phys damage","nu","","","","","","","Phys Amp","Life Gain","Repel Phys","120%","Phys 20%","100%","30%","+10% to Phys damage.","+30% to max HP.","+20% to Phys damage inflicted.","HP: +200(MAX)","HP: +200(MAX)","HP: +200(MAX)",""
"Surt","Black Fire of Muspell","Southern Firewall","+5% to Fire damage.","","nu","wk","","","","","Fire Amp","Life Gain","Repel Fire","120%","Fire 20%","50%","100%","+10% to Fire damage.","+30% to max HP.","+20% to Fire damage","HP: +200(MAX)","HP: +200(MAX)","HP: +200(MAX)",""
"Vasuki","Dragon King Shield","Rope of Manu","+5% to Ice damage.","","wk","nu","","","","","Ice Amp","Life Gain","Repel Ice","120%","Ice 20%","50%","100%","+10% to Ice damage.","+30% to max HP.","+20% to Ice damage inflicted.","HP: +200(MAX)","HP: +200(MAX)","HP: +200(MAX)",""
"Gogmagog","White Cliff","Formidable Cliff","-5% to Phys damage received.","nu","","","","","","","Phys Boost","Life Surge","Drain Phys","120%","Phys 20%","100%","30%","+10% to Phys damage.","+30% to max HP.","+20% to max HP.","HP: +200(MAX)","HP: +200(MAX)","HP: +200(MAX)",""
"Amaterasu","Heavenly Cloth","Cloth of the Sun","-5% to Fire damage received.","","nu","wk","","","","","Fire Boost","Life Surge","Drain Fire","120%","Fire 20%","50%","100%","+10% to Fire damage.","+30% to max HP","+20% to max HP. -10% to Fire damage received.","HP: +200(MAX)","HP: +200(MAX)","HP: +200(MAX)",""
"Ananta","Lotus of Creation","Foundation of Form","-5% to Ice damage received","","wk","nu","","","","","Ice Boost","Life Surge","Drain Ice","120%","Ice 20%","50%","100%","+10% to Ice damage","+30% to max HP.","+20% to max HP. -10% to Ice damage received","HP: +200(MAX)","HP: +200(MAX)","HP: +200(MAX)",""
"Jatayu","Force Barrier","Bird King Shield","","","","","wk","rs","","","Magic Amp II","Life Bonus","","90%","Force 10%","40%","80%","","","","","","",""
"Oberon","Tatenashi Wind Armor","Fairy King Armor","+5% to force damage.","","","","wk","rs","","","Force Boost","Life Gain","Null Force","90%","Force 10%","40%","80%","","","","","","",""
"Susano-o","Storm of Susa","Savage Aura","+5% to Force damage.","","","","wk","nu","","","Force Amp","Life Gain","Repel Force","120%","Force 20%","50%","100%","+10% to Force damage.","+30% to max HP","+20% to Force damage.","HP: +200(MAX)","HP: +200(MAX)","HP: +200(MAX)",""
"Garuda","Divine Bird Shield","Rakta-paksa","-5% to Force damage received","","","","wk","nu","","","Force Boost","Life Surge","Drain Force","120%","Force 20%","50%","100%","+10% to Force damage.","+30% to max HP.","+20% to max HP. -10% to Force damage received","HP: +200(MAX)","HP: +200(MAX)","HP: +200(MAX)",""
"Koumokuten","Electric Barrier","Insight Shield","","","","","rs","wk","","","Magic Amp II","Life Bonus","","90%","Elec 10%","40%","80%","","","","","","",""
"Anzu","Usukane Thunder Armor","Thunderous Armor","","","","","rs","wk","","","Elec Boost","Life Gain","Null Elec","90%","Elec 10%","40%","80%","","","","","","",""
"Thor","Hrungnir's Core","Electric Pain","+5% to Elec damage.","","","","nu","wk","","","Elec Amp","Life Gain","Repel Elec","120%","Elec 20%","50%","100%","+10% to Elec damage.","+30% to max HP.","+20% to Elec damage.","HP: +200(MAX)","HP: +200(MAX)","HP: +200(MAX)",""
