demon name,sword Name,Talent name,Talent effect,skill 1,skill 2,awaken skill,Phys/mag atk %,Atribute increase,Phys ACC%,Critical %,panel 1,panel 2,panel 3,Panel 1 Step,panel 2 Step,panel 3 Step,Nickname
"Valkyrie","War God Sword","Valhalla Blade","While the one with this skill is alive, all party members will receive the following effect: -5% to Phys damage received.","Cleave","Mow Down","","Phys ATK 90%","Phys 20%","15%","15%","","","","","","",""
"Efreet","Fire Spirit Sword","Jinn Blade","While the one with this skill is alive, all party members will receive the following effect: -5% to Fire damage received.","Agi","Maragi","","Mag ATK 90%","Fire 20%","15%","15%","","","","","","",""
"Gui Xian","Ice Warrior Sword","Tortoise Blade","While the one with this skill is alive all party members will receive the following effect: -5% to Ice damage received.","Bufu","Mabufu","","Mag ATK 90%","Ice 20%","15%","15%","","","","","","",""
"Wu Kong","Kamui Sword - Meteor","Monkey King Blade","While the one with this skill is alive, all party members will receive the following effect: +10% to Phys damage.","Fatal Sword","Hades Blast","Berserker God","Phys ATK 90%","Phys 20%","15%","15%","","","","","","",""
"Prometheus","Kamui Sword - Black Flames","Divine Fire Blade","While the one with this skill is alive, all party members will receive the following effect:+10% to Fire damage.","Agilao","Maragion","Agidyne","Mag ATK 90%","Fire 20%","15%","15%","","","","","","",""
"Beiji-Weng","Kamui Sword - Ice Death","Ice Death Blade","While the one with this skill is alive all party members will receive the following effect: +10% to Ice damage.","Bufula","Mabufula","Bufudyne","Mag ATK 90%","Ice 20%","15%","15%","","","","","","",""
"Cu Chulainn","Cruaidin","All-piercing Blade","While the one with this skill is alive, all party members will receive the following effect: +15% to Phys damage.","Berserker God","Hades Blast","Tie-Breaker","Phys ATK 120%","Phys 30%","25%","25%","+15% to Phys Damage","Reduces the cost of Tie-breaker by 1MP.","While the one with this skill is alive, all party members will receive the following effect: +10% to Phys damage.","Phys ATK +50(MAX)","Phys ATK +50(MAX)","Phys ATK +50(MAX)",""
"Surt","Flaming Sword","Beacon of the Giants","While the one with this skill is alive, all party members will receive the following effect: +15% to Fire damage dealt.","Agidyne","Maragion","Scathe of Branches","Mag ATK 120%","Fire 30%","20%","20%","+15% to Fire damage dealt.","Reduces the cost of Scathe of Branches by 1MP.","While the one with this skill is alive, all party members will receive the following effect: +10% to Fire damage.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
"Vasuki","Dragon King Sword","Water of Patala","While the one with this skill is alive, all party members will receive the following effect: +15% to Ice damage inflicted.","Bufudyne","Mabufula","Samudra Manthan","Mag ATK 120%","Ice 30%","20%","20%","+15% to Ice damage dealt.","Reduces the cost of Samudra Manthan by 1MP.","While the one with this skill is alive, all party members will receive the following effect: +10% to Ice damage.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
"Gogmagog","Last Rebellion","Revolt & Protect","While the one with this skill is alive, all party members will receive the following effect: -10% to Phys damage received.","Fatal Sword","Acid Breath","Albion Giant","Phys ATK 120%","Phys 30%","25%","25%","+15% to HP Healing skill effectiveness.","Reduces the cost of Albion Giant by 1MP.","While the one with this skill is alive, all party members will receive the following effect: -5% to Phys damage received.","Phys ATK +50(MAX)","Phys ATK +50(MAX)","Phys ATK +50(MAX)",""
"Amaterasu","Takaamagahara","Light of Amaterasu","While the one with this skill is alive, all party members will receive the following effect: -10% to Fire damage received.","Agilao","Blood Rush","Ukehi","Mag ATK 120%","Fire 30%","20%","20%","+15% to HP Healing skill effectiveness.","Reduces the cost of Ukehi by 1MP.","While the one with this skill is alive, all party members will receive the following effect: -5% to Fire damage received.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
"Ananta","Yatsuka Sword","Canopy of the Gods","While the one with this skill is alive, all party members will receive the following effect: -10% to Ice damage received.","Bufula","War Cry","Primordial Water","Mag ATK 120%","Ice 30%","20%","20%","+15% to HP Healing skill effectiveness.","Reduces the cost of Primordial Water by 1MP.","While the one with this skill is alive, all party members will receive the following effect: -5% to Ice damage received.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
"Moh Shuvuu","Wind Bird Sword","Demon Bird Blade","While the one with this skill is alive, all party members will receive the following effect: -5% to Force damage received.","Zan","Mazan","","Mag ATK 120%","Force 20%","15%","15%","","","","","","",""
"Long","Kamui Sword - Twister","Blue Empeor Blade","While the one with this skill is alive, all party members will receive the following effect: +10% to Force damage.","Zanma","Mazanma","Zandyne","Mag ATK 90%","Force 20%","15%","15%","","","","","","",""
"Susano-o","Amenohabakari","Father of Swords","While the one with this skill is alive, all party members will receive the following effect: +15% to Force damage.","Zandyne","Mazanma","Serpent Killer","Mag ATK 120%","Force 30%","20%","20%","+15% to Force damage.","Reduces the cost of Serpent Killer by 1MP.","While the one with this effect is alive, all party members will receive the following effect: +10% to Force damage.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
"Garuda","Sky Sword","Rasayana","While the one with this skill is alive, all party members will receive the following effect:-10% to Force damage received.","Zanma","Fog Breath","Immortal Shrine","Mag ATK 120%","Force 30%","20%","20%","+15% to HP Healing skill effectiveness.","Reduces the cost of Immortal Shrine by 1MP.","While the one with this skill is alive, all party members will receive the following effect: -5% to Force damage received.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
"Baihu","White Thunder Sword","Tiger Blade","While the one with this skill is alive, all party members will receive the following effect: -5% to Elec damage received.","Zio","Mazio","","Mag ATK 90%","Elec 20%","15%","15%","","","","","","",""
"Titania","Kamui Sword - Swift Lightining","Queen Thunder Blade","While the one with this skill is alive, all party members will receive the following effect: +10% to Elec damage.","Zionga","Mazionga","Ziodyne","Mag ATK 90%","Elec 20%","15%","15%","","","","","","",""
"Thor","Thunderous Giantslayer","Mightiest Warrior","While the one with this skill is alive, all party members will receive the following effect: +15% to Elec damage.","Ziodyne","Mazionga","Crackling Thunder","Mag 120%","Elec 30%","20%","20%","+15% to Elec damage.","Reduces the cost of Crackling Thunder by 1MP.","While the one with this skill is alive, all party members will receive the following effect: +10% to Elec damage.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
"Barong","Holy Beast Sword","Symbol of Good","While the one with this skill is alive, all party members will receive the following effect: -10% to Elec damage received.","Zionga","War Dance","Calon Arang","Mag ATK 120%","Elec 30%","20%","20%","15% to HP Healing skill effectiveness.","Reduces the cost of Calon Arang by 1MP.","While the one with this skill is alive, all party members will receive the following effect:  -5% to Elec damage received.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
"Lailah","Holy Sword","Night Blade","While the one with this skill is alive, all party members will receive the following effect: -5% to Light damage received.","Hama","Mahama","","ATK Mag 90%","Light 20%","15%","15%","","","","","","",""
"Sleipnir","Kamui Sword - Light Speed","Warhorse Blade","While the one with this skill is alive, all party members will receive the following effect: +10% to Light damage.","Hamaon","Mahamaon","Hamadyne","Mag ATK 90%","Light 20%","15%","15%","","","","","","",""
"Mastema","Damnation Sword","Vengeful Fallen","While the one with this skill is alive, all party members will receive the following effect: +15% to Light damage.","Hamadyne","Mahamaon","Last Plague","Mag ATK 120%","Light 30%","20%","20%","+15% to Light damage.","Reduces the cost of Last Plague by 1MP.","While the one with this skill is alive, all party members will receive the following effect: +10% to Light damage.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
"Ishtar","Radiance Sword","Solar Body","While the one with this skill is alive, all party members will receive the following effect: -10% to Light damage received.","Hamaon","War Dance","Starry Passion","Mag ATK 120%","Light 30%","20%","20%","+15% to HP Healing skill effectiveness.","Reduces the cost of Starry Passion by 1MP.","While the one with this skill is alive, all party members will receive the following effect: -5% to Light damage received.","Mag ATK +50(MAX)","Mag ATK +50(MAX)","Mag ATK +50(MAX)",""
