Name,BestArchetypePvE,BestArchetypePvP,PvEScore,PvPOffenseScore,PvPDefScore,DemoPrelimScore,DemoBossScore,Pros,Cons,Notes
"Alice",TP,TP,4,4,4,5,5,"Die for Me! inflicts Mortal (instant kill) and bypasses Endure-type skills, making her incredibly valuable in deleting key demons for PVP.
High MAG stat combined with Dark Amp in purple makes her a very powerful Dark Mage.
Incredible panels that give her damage amplification, MP cost reduction and increased uses of her signature unique skill.
She's cute!!","Needs Dark Pierce (weak) and Panel 3 to really shine.
Needs to run Divines without Panel 2 for first turn Die for Me! and to mitigate long term MP issues.
Weak to Light and by extension the Archangels matchup. Teal fixes this somewhat but you lose Dark Amp in return.","She has pretty bad AI (will sometimes Mamudoon instead of spamming DFM), keep this in mind when using her for Defense.
Mortal is lot less powerful against Xi Wangmu teams, as she will simply resurrect the Mortal-ed target and is immune to Mortal herself."
"Alice A",T,TP,5,5,5,1,2,"The only demon in the game with AOE Mortal. When paired with curse support like Nebiros, she can easily decimate entire teams without Null Curse and/or Null Mortal.
Drains 1 MP from the enemy at the start of their turn, which stops MANY T1 sweepers (eg Baal, Anat, Uriel) in their tracks.
Trivializes almost all PVE content like Aura Gate and Hell's Park - pair her with an AOE curse inflictor and instakill everyone!
Purple gains Null Mortal which prevents her from being killed by other Mortal users.
She's cute!!","Hard countered by Null Curse and Null Mortal.
Weak to Light and by extension the Archangels matchup. Teal fixes this somewhat but you lose Null Mortal in return.","Cannot be used in the same team with OG Alice."
"Alilat",C,C,4,3,3,1,1,"While alive, Repel Pierce will prevent pierce skills from going through Repel resistances. This is very useful when combined with demons that have high natural Repels (like Asura Lord or Vairocana) or against popular attack elements like Physical (example Teal Gogmagog).
Very high LUK stat allows her to be used as both an Ailment inflictor and a cleanser (especially with innate Infernal Mask and P1).
Good HP and Vit stats and no weaknesses give her a lot of bulk.
Very cheap to fuse.","Megidola is a wasted skill as her Magic stat is low.","One of only three demons that can negate pierce, and the only fuseable source. A near Must-Have demon for PVE, as Repel Pierce paired with appropriate demons is perfect for cheesing most Boss fights."
"Amaterasu",Y,C,4,2,2,3,3,"One of the best PVE support demons in the game. Tenson Kourin is the best buff spell in the game, guaranteeing you will have all 3 buffs at the end of cast.
Gains access to discounted Mediarahan in Yellow, which heals for a lot thanks to her high magic stat.","Maragion is a wasted slot for support builds.
High MP cost
Weak to Elec","Panels are very lackluster.
Healing is less important in PvP, reducing her potential there."
"Ananta",R,P,1,3,3,3,1,"Purple provides all 3 Auto-Buffs, which is incredibly strong
Reasonable bulky with 3 Nulls makes him a decent support demon. War Cry or Recarmdra can be transferred to increase his support potential.
Works well in slow double Intimidating Stance teams, and can be deliberately left at level 1 to lower battle speed if used as a pure buff bot.","Weak to Force
Buffs disappear after a wave is cleared in PvE, so Auto-Skills aren't as valuable there.
Relies heavily on transfer skills to function well. Unfortunately most good transfer skills are Gacha-only.","-"
"Anat",P,CP,4,5,5,5,3,"Thunderstorm deals high piercing AOE damage and autocasts Tarunda.
Killer Impulse lets her function as an Endure breaker, and has great synergy with Hresvelgr.","Weak to Force
Panel 2 is Mandatory for Turn 1 Thunderstorm.
Expensive to fuse and only available in clear. Colored variants are Gacha exclusive.
Only Thunderstorm and Killer Impulse have pierce.","Requires additional MP Support when going against Alice A teams
Red gives her discounted Thunder Reign which can be used against Elec Anti-Pierce such as Rama + Mother Harlot. Note that it does not pierce though!"
"Aniel",P,P,4,4,4,2,5,"Glorious Bolt restores 1 MP to the whole party (including himself) and costs a measly 5 MP to activate.
The MP restoration aspect is very powerful in the current PVP meta as a counter to Alice A's passive MP Drain. This is most notable on an Archangels comp, who previously had to run suboptimal techs like Lakshmi A to avoid being crippled by Give me Jewels.
Even outside Archangels, he can function as an offensive MP Battery to give T1 teams even more muscle.
Innate Thunderclap and Light Enhancement in Purple make him a powerful nuker for Light Democalypse.
Panel 3 unlocks a damage aura for your other Archangels, further elevating the damage ceiling of that team comp.
When used with Atavaka or Alilat, innate Repel Elec helps to soft-counter Atropos, as the second part of Passionate Rage will not proc if the first Elec part is Anti-Pierced.","As Archangels are mostly used as Glass Cannon teams, God's Grace is irrelevant most the time (outside of the passive damage boost).","-"
"Asherah",TP,TY,3,4,4,2,2,"Mother's Creation revives a unit with full HP while also generating Press Turn, allowing the resurrected unit to act immediately.
Silent Prayer in Yellow allows her act as a Pseudo-Cleric and also remove Barrier, Tetraja, Charge etc.
Innate Mediarama and Recovery Amp in Purple lets her function as a decent PVE healer.
Functions well in a Moirai Sisters team, as she can fulfill the Lady/Femme requirements while still providing massive utility.","Weak to Ice and Dark, both very common attacking elements.
Low AGI means she will need Lead Brands or even slower teammates to work as a Cleric.","Very powerful against Archangel Teams, as her sheer bulk and Fire damage reduction from Panel 2 ensures she can stay alive and turn the tables through Mother's Creation.
Beware revive sealing units like Skull Knight who can render Mother's Creation useless."
"Asura",R,T,4,2,2,4,5,"High STR and Ashura are devastating against lone targets like Bosses. This makes him a very strong Phys Democalypse unit.
Three Faces Six Arms and his good innate bulk are the perfect counter to skills like Fire of Sinai and Griffon-Bolts.
Mana Aid is fantastic for PVE farming as it lets him spam Ashura.
Single-handedly trivializes Brands of Sin Deceit 11.
Repel Phys in Teal and high VIT make him a good partner for Alilat and Atavaka.","Weak to Ice
As nothing in his kit boosts damage, damage booster transfers are mandatory.","His only Piercing attack being Random Target makes him near unusable in PvP. Using Ashura against Masakado means your death."
"Asura Lord",RP,TP,5,4,4,5,3,"Incredibly high ST damage that also generates press turns thanks to his high Crit Rate.
Passively increases your team's Crit Rate and Crit Damage through Endless War. Pairs very well with Kartikeya, as their combined passives will give your team a whopping +40% boost to Crit Rate.
Slaughter All is fully unblockable and ignores Endure-type skills, allowing you to delete any demon he claps. It is also very useful to clean up any remaining enemies (usually bosses) after your AOE demons have unleashed their payload, notably D11 Metatron.
Red gives him a powerful AOE in Gigantomachia. Combined with his innate Great Aim and pierce in Endless War, this makes him a terrifying sweeper.
Good repel resistances makes him a natural partner for Alilat or Atavaka. Fire and Light repel is especially useful to counter Archangel teams, as it makes him immune to both their AOE elements.","Hard to raise Slaughter All's damage further as it is of the Almighty element.
High MP cost mandates the use of Divine Brands if Panel 2 is not unlocked, which can slightly reduce his damage potential.
Middling AGI makes him slightly awkward to fit in fast or slow teams.","Fits well in Hero Masakado T1 Defense Teams, especially if Auto-Rebellion is transferred."
